_id,name,id
ObjectId("5de858562e0ddc657d1b6b60"),Centro de Investigación en Ciencias de Información Geoespacial, A.C.,CENTROGEO-41
ObjectId("5de858562e0ddc657d1b6b61"),Corporación Mexicana de Investigación en Materiales, S.A. de C.V.,COMIMSA-119
ObjectId("5de858562e0ddc657d1b6b62"),Diconsa, S.A. de C.V.,DICONSA-120
ObjectId("5de858562e0ddc657d1b6b63"),Banco del Ahorro Nacional y Servicios Financieros, S.N.C.,BANSEFI-26
ObjectId("5de858562e0ddc657d1b6b64"),Compañía Mexicana de Exploraciones, S.A. de C.V.,COMESA-105
ObjectId("5de858562e0ddc657d1b6b65"),Consejo Nacional para Prevenir la Discriminación,CONAPRED-114
ObjectId("5de858562e0ddc657d1b6b66"),Instituto Nacional de las Mujeres,INMUJERES-210
ObjectId("5de858562e0ddc657d1b6b67"),Comisión Ejecutiva de Atención a Víctimas,CEAV-314
ObjectId("5de858562e0ddc657d1b6b68"),Fondo de Capitalización e Inversión del Sector Rural,FOCIR-147
ObjectId("5de858562e0ddc657d1b6b69"),Colegio de Postgraduados,COLPOS-70
ObjectId("5de858562e0ddc657d1b6b6a"),Administración Portuaria Integral de Topolobampo, S.A. de C.V.,API-Topolobampo-16
ObjectId("5de858562e0ddc657d1b6b6b"),Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias,INIFAP-206
ObjectId("5de858562e0ddc657d1b6b6c"),Instituto Nacional de la Infraestructura Física Educativa,INIFED-208
ObjectId("5de858562e0ddc657d1b6b6d"),Televisión Metropolitana S.A. de C.V.,TVMETRO-300
ObjectId("5de858562e0ddc657d1b6b6e"),Instituto para la Protección al Ahorro Bancario,IPAB-227
ObjectId("5de858562e0ddc657d1b6b6f"),Hospital Regional de Alta Especialidad de la Península de Yucatán,HRAEPY-166
ObjectId("5de858562e0ddc657d1b6b70"),Fideicomiso para la Cineteca Nacional,FICINE-141
ObjectId("5de858562e0ddc657d1b6b71"),Policía Federal,PF-243
ObjectId("5de858562e0ddc657d1b6b72"),Comisión Nacional de Vivienda,CONAVI-93
ObjectId("5de858562e0ddc657d1b6b73"),ProMéxico,PROMEXICO-255
ObjectId("5de858562e0ddc657d1b6b74"),Procuraduría de la Defensa del Contribuyente,PRODECON-247
ObjectId("5de858562e0ddc657d1b6b75"),Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,INR-219
ObjectId("5de858562e0ddc657d1b6b76"),Instituto Mexicano de Tecnología del Agua,IMTA-190
ObjectId("5de858562e0ddc657d1b6b77"),Instituto Mexicano del Petróleo,IMP-191
ObjectId("5de858562e0ddc657d1b6b78"),Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C.,CIATEJ-45
ObjectId("5de858562e0ddc657d1b6b79"),Colegio Nacional de Educación Profesional Técnica,CONALEP-71
ObjectId("5de858562e0ddc657d1b6b7a"),Estudios Churubusco Azteca, S.A.,ECHASA-127
ObjectId("5de858562e0ddc657d1b6b7b"),Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C.,BANJERCITO-30
ObjectId("5de858562e0ddc657d1b6b7c"),FONATUR Mantenimiento Turístico, S.A. de C.V.,FONATUR Mantenimiento-144
